Date_x,Sales,Price
2001-01-31,598.29,954.35
2001-02-28,225.34000000000003,907.25
2001-03-31,651.9399999999999,890.0
2001-04-30,235.44000000000003,879.52
2001-05-31,208.76000000000002,866.52
2001-06-30,211.55,873.81
2001-07-31,241.33,828.75
2001-08-31,497.68000000000006,825.22
2001-09-30,348.48,830.0
2001-10-31,206.57000000000002,740.87
2001-11-30,556.49,721.59
2001-12-31,419.50000000000006,680.0
2002-01-31,208.17000000000002,686.0
2002-02-28,617.99,690.0
2002-03-31,311.2300000000001,630.0
2002-04-30,228.08000000000004,623.0
2002-05-31,199.20000000000005,615.0
2002-06-30,530.5300000000001,705.0
2002-07-31,177.32,715.0
2002-08-31,461.52,715.0
2002-09-30,298.84999999999997,875.0
2002-10-31,190.92000000000002,878.0
2002-11-30,520.0,943.0
2002-12-31,303.72,932.0
2003-01-31,583.11,968.0
2003-02-28,295.50000000000006,983.0
2003-03-31,527.31,1000.0
2003-04-30,289.96,1000.0
2003-05-31,237.15,1000.0
2003-06-30,225.98999999999998,1005.0
2003-07-31,139.5,984.0
2003-08-31,425.83,935.0
2003-09-30,176.97,930.0
2003-10-31,141.39000000000001,930.0
2003-11-30,178.14,973.0
2003-12-31,473.90000000000003,1000.0
2004-01-31,409.58,1000.0
2004-02-29,270.39,1000.0
2004-03-31,241.89000000000001,1000.0
2004-04-30,255.02000000000007,970.0
2004-05-31,281.78999999999996,970.0
2004-06-30,458.03999999999996,970.0
2004-07-31,292.45,970.0
2004-08-31,514.01,968.0
2004-09-30,293.16,960.0
2004-10-31,740.6300000000001,960.0
2004-11-30,326.82,960.0
2004-12-31,649.6700000000001,954.0
2005-01-31,800.9400000000002,940.0
2005-02-28,609.1800000000001,940.0
2005-03-31,403.8700000000001,922.0
2005-04-30,624.4200000000001,930.0
2005-05-31,460.80000000000007,930.0
2005-06-30,521.8000000000001,880.0
2005-07-31,667.4800000000001,863.0
2005-08-31,762.44,850.0
2005-09-30,378.95000000000005,850.0
2005-10-31,585.29,850.0
2005-11-30,310.11,850.0
2005-12-31,536.4600000000002,850.0
2006-01-31,950.2,850.0
2006-02-28,452.43000000000006,850.0
2006-03-31,713.2000000000002,835.0
2006-04-30,459.5100000000001,820.0
2006-05-31,839.8200000000004,820.0
2006-06-30,331.95000000000005,824.0
2006-07-31,648.4200000000002,840.0
2006-08-31,810.1999999999999,920.0
2006-09-30,534.91,955.0
2006-10-31,697.1400000000001,980.0
2006-11-30,414.81000000000006,1092.0
2006-12-31,790.8099999999998,1085.0
2007-01-31,903.8000000000001,1068.75
2007-02-28,907.3800000000001,1044.0
2007-03-31,520.44,1041.0
2007-04-30,1063.3800000000003,1065.0
2007-05-31,879.1300000000002,1096.0
2007-06-30,827.6600000000004,1123.0
2007-07-31,1003.8000000000002,1203.0
2007-08-31,875.46,1322.0
2007-09-30,830.37,1437.5
2007-10-31,578.3500000000001,1415.0
2007-11-30,405.28000000000003,1628.0
2007-12-31,641.6300000000001,1700.0
2008-01-31,415.74000000000007,1700.0
2008-02-29,650.22,1563.0
2008-03-31,450.18000000000006,1795.0
2008-04-30,666.51,1795.0
2008-05-31,442.9300000000001,1795.0
2008-06-30,1101.79,1823.0
2008-07-31,1000.6600000000003,1850.0
2008-08-31,820.13,1630.0
2008-09-30,1176.87,1563.75
2008-10-31,875.9200000000001,1444.0
2008-11-30,1759.35,1355.0
2008-12-31,1391.5199999999998,1282.0
2009-01-31,1053.56,1270.0
2009-02-28,820.2300000000001,1165.0
2009-03-31,1483.3000000000002,1108.0
2009-04-30,777.6299999999999,1128.0
2009-05-31,1585.7499999999993,1140.0
2009-06-30,1604.2800000000002,1125.0
2009-07-31,974.3900000000001,1152.0
2009-08-31,1172.2000000000003,1160.0
2009-09-30,1101.48,1160.0
2009-10-31,772.96,1160.0
2009-11-30,1849.8400000000001,1160.0
2009-12-31,719.1299999999998,1196.0
2010-01-31,765.8299999999999,1213.0
2010-02-28,1360.2300000000007,1250.0
2010-03-31,1193.64,1240.0
2010-04-30,1199.9900000000002,1180.0
2010-05-31,1203.1499999999996,1214.0
2010-06-30,610.7900000000001,1225.0
2010-07-31,790.5700000000002,1225.0
2010-08-31,1477.38,1225.0
2010-09-30,906.13,1225.0
2010-10-31,1915.5399999999995,1395.0
2010-11-30,1595.1200000000015,1495.0
2010-12-31,593.24,1520.0
2011-01-31,713.69,1580.0
2011-02-28,1576.9400000000007,1580.0
2011-03-31,1024.6799999999994,1646.0
2011-04-30,935.03,1770.0
2011-05-31,1151.6299999999999,1894.0
2011-06-30,514.94,1923.0
2011-07-31,954.7200000000003,2068.0
2011-08-31,1880.8299999999992,2275.0
2011-09-30,1570.6899999999998,2360.0
2011-10-31,1319.39,2400.0
2011-11-30,1359.1700000000005,2738.0
2011-12-31,419.8800000000001,2800.0
