,PPU,Price
0,1.732,954.35
1,2.231904762,954.35
2,2.460588235,954.35
3,2.365882353,954.35
4,2.54,907.25
5,2.564333333,907.25
6,2.45952381,907.25
7,2.401111111,907.25
8,2.404404762,890
9,2.063225806,890
10,2.264210526,890
11,2.371041667,890
12,2.495263158,879.52
13,2.511428571,879.52
14,2.519411765,879.52
15,2.317777778,879.52
16,2.513529412,879.52
17,2.558333333,866.52
18,2.58375,866.52
19,2.341,866.52
20,2.510416667,866.52
21,2.528333333,873.81
22,2.528409091,873.81
23,2.545588235,873.81
24,2.542631579,873.81
25,2.568571429,828.75
26,2.531388889,828.75
27,2.28375,828.75
28,2.568125,828.75
29,2.543333333,828.75
30,2.512592593,825.22
31,1.82625,825.22
32,1.952703457,825.22
33,1.939,825.22
34,2.523947368,830
35,2.560588235,830
36,2.26173913,830
37,2.449347826,830
38,2.518571429,830
39,2.54625,740.87
40,2.335,740.87
41,2.572352941,740.87
42,2.568571429,740.87
43,2.53725,721.59
44,2.317836257,721.59
45,1.712592593,721.59
46,2.512142857,721.59
47,1.889259259,680
48,2.422386364,680
49,2.5775,680
50,2.553928571,680
51,2.058472222,680
52,2.0375,686
53,2.36,686
54,2.551538462,686
55,2.551875,686
56,1.69173913,690
57,2.49,690
58,2.513529412,690
59,2.440416667,690
60,2.5025,630
61,2.561428571,630
62,2.5025,630
63,2.49,630
64,2.453636364,630
65,2.255555556,623
66,1.946,623
67,2.599090909,623
68,2.575714286,623
69,2.532424242,615
70,2.556666667,615
71,2.59,615
72,2.007066667,615
73,1.933333333,705
74,1.844545455,705
75,2.6,705
76,2.666666667,705
77,2.7425,705
78,2.606666667,715
79,2.696666667,715
80,2.6325,715
81,2.664,715
82,2.636923077,715
83,2.567777778,715
84,1.784367816,715
85,2.25,715
86,2.832857143,875
87,2.781153846,875
88,3.002051282,875
89,2.88,875
90,2.865357143,875
91,2.820769231,878
92,2.83,878
93,2.906666667,878
94,2.826363636,878
95,2.673571429,943
96,1.852631579,943
97,2.769385965,943
98,2.7825,943
99,2.770909091,932
100,2.845714286,932
