,PPU,Price
0,11951.648409655056,954.35
1,11974.712944721872,907.25
2,11913.479577725371,890.0
3,14878.663252979606,879.52
4,12284.893333333246,866.52
5,12012.674783755083,873.81
6,15085.638257918468,828.75
7,11395.275427863724,825.22
8,15377.27218614708,830.0
9,11903.149999999918,740.87
10,12495.120265525824,721.59
11,15716.527039215562,680.0
12,12438.369999999923,686.0
13,12784.101296566358,690.0
14,16516.961754155913,630.0
15,12442.746562626831,623.0
16,13472.4065157238,615.0
17,16539.659640901962,705.0
18,12980.760015366093,715.0
19,12693.62091622374,715.0
20,16685.94561945456,875.0
21,14026.409986376926,878.0
22,14046.773962694044,943.0
23,17207.725372388457,932.0
24,14369.257035290455,968.0
25,14574.962671398345,983.0
26,17777.67354258312,1000.0
27,14873.707958371437,1000.0
28,15126.49934616639,1000.0
29,18537.04442360904,1005.0
30,15238.450778694234,984.0
31,18361.01511017233,935.0
32,14558.00882502676,930.0
33,15098.367911682015,930.0
34,17943.397026323368,973.0
35,14367.268454312136,1000.0
36,14231.360508628091,1000.0
37,18260.34821459932,1000.0
38,15205.600510666434,1000.0
39,15023.122732179403,970.0
40,17955.572385895954,970.0
41,14615.29266832209,970.0
42,14898.46812055483,970.0
43,17715.451197301616,968.0
44,14774.435552513783,960.0
45,18729.134690762734,960.0
46,14483.005581166148,960.0
47,14817.09063477844,954.0
48,19411.084447348832,940.0
49,15614.948359380796,940.0
50,15730.735301273837,922.0
51,15616.708987775404,930.0
52,20677.360568611304,930.0
53,16164.339849347518,880.0
54,21419.733027237417,863.0
55,16848.49134851157,850.0
56,17580.850762101676,850.0
57,22474.00059511968,850.0
58,17772.032347803182,850.0
59,19410.038397544824,850.0
60,27586.678120561086,850.0
61,22746.8165757954,850.0
62,22714.086917196604,835.0
63,28299.060083870812,820.0
64,22350.756891411365,820.0
65,19948.389107675335,824.0
66,27439.516539050735,840.0
67,22278.111548245786,920.0
68,22985.99811051581,955.0
69,28694.40167356755,980.0
70,20834.308453388243,1092.0
71,27224.27623276651,1085.0
72,23522.425191680617,1068.75
73,23799.04517877128,1044.0
74,22182.202821129184,1041.0
75,26674.628313528083,1065.0
76,18907.061269793267,1096.0
77,21372.703980736573,1123.0
78,24356.57444151355,1203.0
79,18630.730527140935,1322.0
80,26017.0318945465,1437.5
81,22769.291999329358,1415.0
82,19772.436062315846,1628.0
83,24363.59377710762,1700.0
84,21139.891112624366,1700.0
85,22818.97709780353,1563.0
86,30417.628987903783,1795.0
87,25036.560480593045,1795.0
88,25252.323414411792,1795.0
89,32175.144478038597,1823.0
90,26015.423319969326,1850.0
91,32597.70322432203,1630.0
92,25908.333573469838,1563.75
93,25615.005243340962,1444.0
94,34360.58170754925,1355.0
95,26548.36098807222,1282.0
96,27962.30069164168,1270.0
97,27273.551367813932,1165.0
98,35314.2236920081,1108.0
99,28793.58217818857,1128.0
100,36017.88022551124,1140.0
101,29280.35124071952,1125.0
102,28699.192653310667,1152.0
103,35715.84061811858,1160.0
104,29762.613576627242,1160.0
105,29838.976646945874,1160.0
106,36543.54265814778,1160.0
107,29109.09066306713,1196.0
108,37384.00454448152,1213.0
109,30386.58945289681,1250.0
110,30486.000562273905,1240.0
111,29037.39788477946,1180.0
112,36342.22961564595,1214.0
113,27733.826839130288,1225.0
114,29257.2530214351,1225.0
115,36185.79170336024,1225.0
116,29628.30033095298,1225.0
117,36819.088412139616,1395.0
118,28398.36469854743,1495.0
119,28496.400298226494,1520.0
120,35570.48147836678,1580.0
121,29011.65013148384,1580.0
122,29375.320637779794,1646.0
123,28363.47505570058,1770.0
124,35885.87154668266,1894.0
125,28976.60306137241,1923.0
126,37339.0148562654,2068.0
127,31354.606913493615,2275.0
128,32357.565361641424,2360.0
129,40614.80372108202,2400.0
130,34809.0965236364,2738.0
131,36228.555009455216,2800.0
